Ticker,Close,SMR_Rating,SMR_Rating_Value,RS_Rating,Raw_RS_Score,Is_Blue_Sky,RS_Line_New_High,Price_In_Base,Above_AVWAP,VCP_Tightness,Volume_DryUp,Trading_Value_JPY
5706.T,17635.0,B,63,99,189.45295011154025,False,True,False,False,True,True,26597161342.5
4506.T,2318.0,B,78,98,145.79703611660773,False,True,False,False,True,True,16382250528.0
1948.T,5000.0,B,65,97,130.5623863135597,True,True,True,True,True,False,525169065.0
6941.T,5850.0,A,87,97,116.5209079028415,True,True,True,True,True,True,1235417400.0
3655.T,2685.0,B,66,96,113.89017680945723,True,True,True,False,False,True,757308667.5
4461.T,8230.0,B,67,95,101.30904500219853,True,True,True,True,True,False,942761190.0
6590.T,18940.0,A,88,95,96.56771352698836,True,True,True,False,False,True,6321051245.0
1885.T,2831.0,B,69,94,87.72515381387615,True,True,True,False,True,False,1280783910.0
1801.T,14835.0,B,78,93,84.59616550215257,True,True,True,False,True,True,12860339387.5
4107.T,4690.0,A,92,93,78.76704941666875,True,True,True,False,False,False,5491376897.614502
6525.T,5495.0,A,92,92,75.6383804317599,True,True,True,True,False,True,22065209696.25
6920.T,29645.0,A,95,91,72.56768417247325,True,True,True,False,True,True,121992214437.83203
8377.T,4590.0,B,70,91,70.13671054652836,True,True,True,False,True,True,1475898310.25
4626.T,4762.0,B,70,90,68.02901541998946,True,True,True,False,True,True,1416420425.0
1515.T,2237.0,B,72,89,67.22603672567058,True,True,True,False,True,False,950811919.4999999
5857.T,3195.0,B,74,89,67.68574918243534,True,True,True,False,True,False,1407013215.75
8544.T,1664.0,B,75,88,66.98963547317838,True,True,True,True,True,False,675412521.0
8386.T,6660.0,A,82,87,66.11727423310752,False,True,False,False,True,False,580131210.0
4971.T,5100.0,A,88,87,65.44418948097092,True,True,True,True,True,True,1002789042.2325438
1980.T,2476.0,B,79,86,64.35053648489605,True,True,True,False,True,False,1446086312.25
4617.T,4415.0,B,71,85,63.56300541764843,True,True,True,False,True,True,1257600555.0
4516.T,5650.0,B,76,85,63.417336924841,True,True,True,False,True,True,6788932407.5
1942.T,5028.0,B,64,84,63.205576467737956,True,True,True,False,True,True,2741019528.0
8237.T,1846.0,B,70,83,61.77784759948375,True,True,True,True,True,False,599029794.75
6890.T,5030.0,B,78,83,61.98310307658933,True,True,True,True,True,True,1694621670.0
7806.T,4730.0,A,82,82,61.13902934866897,True,True,True,True,True,True,1015235081.25
4368.T,6370.0,A,90,81,59.01406471229583,True,True,True,False,True,False,932872200.0
7685.T,4850.0,B,76,81,58.45160336692468,True,True,True,False,True,False,768499295.2285767
8714.T,791.0,B,63,80,56.055829181495085,True,True,True,False,True,False,866103885.0
