Ticker,Stage,Base Count,Resistance Price,Days Since Resistance,Minervini Criteria Met
ELAN,2,15,21.82,2,7
VEEV,2,10,302.00,19,7
BWXT,2,32,214.72,6,7
BBDO,2,12,3.00,23,7
CELC,2,11,63.06,43,7
INCY,2,8,87.06,68,7
THFF,2,20,60.22,47,6
XEL,2,24,82.22,14,7
AEHR,2,18,34.35,20,5
MLYS,2,7,43.88,9,7
IONQ,2,22,82.97,15,5
CIB,2,32,57.40,5,7
EZPW,2,28,19.44,7,7
RDWR,2,10,30.83,107,7
LH,2,16,293.72,1,7
FDMT,2,5,11.29,2,7
AAME,2,6,3.71,56,6
AD,2,13,56.54,61,5
SRAD,2,21,31.82,64,6
HGTY,2,10,13.32,35,6
SEI,2,25,56.14,6,7
